Tên sản phẩm,Đơn vị sản xuất,Giá
Nghệ trắng già thái lát sấy lạnh 1kg,HỢP TÁC XÃ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ QNA FARM,360.000₫
Bột chuối xanh 100g,HỢP TÁC XÃ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ QNA FARM,59.000₫
SNACK CHUỐI BANA 5kg,HỢP TÁC XÃ NÔNG NGHIỆP XANH ĐẤT QUẢNG,500.000₫
TINH BỘT NGHỆ NẾP ĐỎ,HỢP TÁC XÃ NÔNG NGHIỆP XANH ĐẤT QUẢNG,546.000₫
BỘT MẦM GẠO LỨT MẸ BẦU,Công Ty TNHH Sản Xuất TMDV Phương Nga,280.000₫
BỘT MẦM GẠO LỨT YẾN MẠCH ĂN SÁNG,Công Ty TNHH Sản Xuất TMDV Phương Nga,185.000₫
TIÊU HẠT ĐẶC SẢN TIÊN PHƯỚC QUẢNG NAM(500g),Cở sở sản xuất nghệ Tiên Ngọc Nosa,280.000₫
KHỔ QUA RỪNG SẤY LẠNH 500G,Cở sở sản xuất nghệ Tiên Ngọc Nosa,225.000₫
Trà ngũ cốc thảo mộc Hồng An (Túi lọc),Cơ sở nông sản Hồng An,60.000₫
Dầu mè đen nguyên chất Bảo Tâm chai 120ml,HTX SX DẦU THỰC VẬT NGUYÊN CHẤT BẢO TÂM,79.000₫
Đũa gỗ mỹ nghệ Nam Dương,Hợp tác xã Sản xuất và Thương mại đũa gỗ mỹ nghệ Nam Dương,Liên hệ
Dầu mè đất Quế,Hợp tác xã Nông nghiệp Quế Châu,Liên hệ
Phở khô Thủy Miền,Hộ Kinh doanh Trần Văn Miền,Liên hệ
Trà linh chi tui lọc,HỢP TÁC XÃ SẢN XUẤT CHẾ BIẾN VÀ TIÊU THỤ NẤM NHÌ TÂY – HIỆP ĐỨC,110.000₫
Muối sả ớt lá chanh,Cơ sở sản xuất sản phẩm xanh Hương Bột.,15.000₫
Mực Tâm Lộc,Công ty TNHH Thương mại và Tổng hợp Tâm Lộc,Liên hệ
Tinh dầu tràm Linh Vũ,Dầu Tràm Linh Vũ,Liên hệ
Sản phẩm Đàn ghita,Hộ kinh doanh Nguyễn Quang Vũ,90.000₫
Nước mắm Cô Chung,Hộ Kinh doanh Trần Thị Chung,Liên hệ
Rong mứt Tam Hải,Hội Liên hiệp phụ nữ xã Tam Hải,Liên hệ
Gà tre Quế Sơn xông khói,HTX Gà Tre Quế Sơn,Liên hệ
Trà Oolong Quyết Thắng,Công ty cổ phần nông lâm nghiệp Quyết Thắng Quảng Nam,Liên hệ
Bột Bào Tử Linh Chi,HỢP TÁC XÃ SẢN XUẤT CHẾ BIẾN VÀ TIÊU THỤ NẤM NHÌ TÂY – HIỆP ĐỨC,Liên hệ
Nấm Linh Chi Khô,HỢP TÁC XÃ SẢN XUẤT CHẾ BIẾN VÀ TIÊU THỤ NẤM NHÌ TÂY – HIỆP ĐỨC,Liên hệ
Bình Giữ Nhiệt Gỗ Khắc Logo,QUÀ TẶNG MAI ANH ĐÀO,Liên hệ
Bộ Ấm Trà Dáng Minh Long,QUÀ TẶNG MAI ANH ĐÀO,Liên hệ
Bột ngũ cốc Hồng An,Cơ sở nông sản Hồng An,200.000₫
Dầu đậu phụng Bình Nam,HTX Dịch vụ Nông nghiệp Bình Nam,Liên hệ
Mật ong Dú Kỳ Tân,Hộ kinh doanh cở sở Huỳnh Trưởng,Liên hệ
Nấm Bào Ngư,Cơ sở sản xuất nấm Nguyên Chương,Liên hệ
Chả Nấm Bào Ngư,Cơ sở sản xuất nấm Nguyên Chương,Liên hệ
Tinh bột nghệ trắng 250g,Cở sở sản xuất nghệ Tiên Ngọc Nosa,175.000₫
VIÊN HOÀN NGHỆ TRẮNG MẬT ONG,Cở sở sản xuất nghệ Tiên Ngọc Nosa,140.000₫
Viên nhàu,CƠ SỞ BESTONE,285.000₫
Hồng yến loại 1,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT BẢO TRÂN,3.295.000₫
Tinh bột nghệ 500gr,Cơ sở sản xuất sản phẩm xanh Hương Bột.,320.000₫
